Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-1, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-1, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-2, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 30.326057
Apostador: Apostador-1, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-1, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-1, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 30.326057
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 30.326057
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 5.068380
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 5.068380
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 2.566307
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 2.566307
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.777551
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.777551
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.675198
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.675198
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.044301
Apostador: Apostador-1, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.044301
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.010598
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.010598
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.001667
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.001667
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.004178
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.004178
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000408
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000408
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000066
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000066
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000119
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000119
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000356
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000356
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000020
Apostador: Apostador-1, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000020
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000025
Apostador: Apostador-1, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000025
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000022
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000022
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-1, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-1, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 30.326057
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 30.326057
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 0.000000, Cantidad 5.068380
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 5.068380
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 2.566307
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 2.566307
