Apostador: Apostador-3, Ventanilla: 3, Caballo: 0, Cotizacion: 0.988380, Cantidad 153.703201
Apostador: Apostador-6, Ventanilla: 8, Caballo: 0, Cotizacion: 2.613034, Cantidad 144.416016
Apostador: Apostador-8, Ventanilla: 7, Caballo: 1, Cotizacion: 9.438965, Cantidad 50.234806
Apostador: Apostador-10, Ventanilla: 2, Caballo: 1, Cotizacion: 7.833380, Cantidad 40.954208
Apostador: Apostador-7, Ventanilla: 10, Caballo: 0, Cotizacion: 2.448476, Cantidad 15.074123
Apostador: Apostador-5, Ventanilla: 6, Caballo: 2, Cotizacion: 2.246049, Cantidad 102.267471
Apostador: Apostador-9, Ventanilla: 1, Caballo: 0, Cotizacion: 2.540239, Cantidad 130.487213
Apostador: Apostador-2, Ventanilla: 9, Caballo: 0, Cotizacion: 2.340657, Cantidad 117.990738
Apostador: Apostador-4, Ventanilla: 0, Caballo: 1, Cotizacion: 8.115239, Cantidad 132.701828
Apostador: Apostador-3, Ventanilla: 3, Caballo: 1, Cotizacion: 5.957995, Cantidad 85.378632
Apostador: Apostador-1, Ventanilla: 5, Caballo: 2, Cotizacion: 2.569624, Cantidad 155.081970
Apostador: Apostador-6, Ventanilla: 4, Caballo: 1, Cotizacion: 5.445205, Cantidad 150.055847
Apostador: Apostador-10, Ventanilla: 7, Caballo: 0, Cotizacion: 2.665131, Cantidad 97.289825
Apostador: Apostador-7, Ventanilla: 2, Caballo: 1, Cotizacion: 4.201060, Cantidad 119.332298
Apostador: Apostador-8, Ventanilla: 8, Caballo: 1, Cotizacion: 4.598796, Cantidad 83.636604
Apostador: Apostador-4, Ventanilla: 6, Caballo: 1, Cotizacion: 3.765045, Cantidad 117.161865
Apostador: Apostador-5, Ventanilla: 10, Caballo: 2, Cotizacion: 2.838964, Cantidad 133.778000
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 2.654950, Cantidad 80.151360
Apostador: Apostador-9, Ventanilla: 9, Caballo: 2, Cotizacion: 2.561344, Cantidad 29.632332
Apostador: Apostador-2, Ventanilla: 1, Caballo: 0, Cotizacion: 3.078938, Cantidad 14.350913
Apostador: Apostador-6, Ventanilla: 5, Caballo: 1, Cotizacion: 3.442553, Cantidad 145.987061
Apostador: Apostador-3, Ventanilla: 3, Caballo: 1, Cotizacion: 3.684103, Cantidad 104.100899
Apostador: Apostador-10, Ventanilla: 7, Caballo: 2, Cotizacion: 2.712150, Cantidad 120.594749
Apostador: Apostador-8, Ventanilla: 4, Caballo: 0, Cotizacion: 3.270382, Cantidad 95.361259
Apostador: Apostador-7, Ventanilla: 2, Caballo: 2, Cotizacion: 2.641255, Cantidad 2.666663
Apostador: Apostador-5, Ventanilla: 8, Caballo: 1, Cotizacion: 3.331596, Cantidad 131.001999
Apostador: Apostador-3, Ventanilla: 10, Caballo: 2, Cotizacion: 2.721909, Cantidad 4.149961
Apostador: Apostador-9, Ventanilla: 6, Caballo: 0, Cotizacion: 3.211307, Cantidad 78.669540
Apostador: Apostador-2, Ventanilla: 9, Caballo: 1, Cotizacion: 3.169610, Cantidad 133.121429
Apostador: Apostador-4, Ventanilla: 0, Caballo: 2, Cotizacion: 2.851915, Cantidad 104.194199
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 2.736944, Cantidad 32.101250
Apostador: Apostador-6, Ventanilla: 5, Caballo: 2, Cotizacion: 2.704344, Cantidad 78.649216
Apostador: Apostador-8, Ventanilla: 3, Caballo: 1, Cotizacion: 3.120603, Cantidad 130.194077
Apostador: Apostador-10, Ventanilla: 7, Caballo: 0, Cotizacion: 3.427018, Cantidad 25.638674
Apostador: Apostador-7, Ventanilla: 4, Caballo: 2, Cotizacion: 2.716522, Cantidad 109.122978
Apostador: Apostador-5, Ventanilla: 8, Caballo: 2, Cotizacion: 2.569768, Cantidad 66.954147
Apostador: Apostador-4, Ventanilla: 10, Caballo: 2, Cotizacion: 2.617843, Cantidad 58.133320
Apostador: Apostador-9, Ventanilla: 2, Caballo: 1, Cotizacion: 3.110686, Cantidad 24.737019
Apostador: Apostador-3, Ventanilla: 9, Caballo: 1, Cotizacion: 3.079278, Cantidad 126.985382
Apostador: Apostador-2, Ventanilla: 6, Caballo: 0, Cotizacion: 3.652392, Cantidad 117.783134
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 2.997543, Cantidad 37.065998
Apostador: Apostador-6, Ventanilla: 1, Caballo: 1, Cotizacion: 2.957005, Cantidad 0.639732
Apostador: Apostador-8, Ventanilla: 5, Caballo: 1, Cotizacion: 2.956320, Cantidad 90.934280
Apostador: Apostador-10, Ventanilla: 3, Caballo: 0, Cotizacion: 3.534145, Cantidad 31.533484
Apostador: Apostador-7, Ventanilla: 7, Caballo: 0, Cotizacion: 3.483748, Cantidad 8.692508
Apostador: Apostador-5, Ventanilla: 4, Caballo: 0, Cotizacion: 3.470206, Cantidad 7.465582
Apostador: Apostador-3, Ventanilla: 9, Caballo: 2, Cotizacion: 2.738175, Cantidad 91.063660
Apostador: Apostador-9, Ventanilla: 8, Caballo: 0, Cotizacion: 3.515545, Cantidad 134.164276
Apostador: Apostador-4, Ventanilla: 10, Caballo: 2, Cotizacion: 2.726767, Cantidad 84.898575
Apostador: Apostador-2, Ventanilla: 6, Caballo: 0, Cotizacion: 3.370035, Cantidad 96.555687
Apostador: Apostador-1, Ventanilla: 2, Caballo: 2, Cotizacion: 2.704012, Cantidad 108.022865
Apostador: Apostador-8, Ventanilla: 1, Caballo: 2, Cotizacion: 2.624232, Cantidad 136.951218
Apostador: Apostador-6, Ventanilla: 0, Caballo: 2, Cotizacion: 2.533225, Cantidad 76.032219
Apostador: Apostador-7, Ventanilla: 3, Caballo: 2, Cotizacion: 2.486970, Cantidad 150.636734
Apostador: Apostador-10, Ventanilla: 5, Caballo: 1, Cotizacion: 3.346367, Cantidad 127.362823
Apostador: Apostador-4, Ventanilla: 8, Caballo: 1, Cotizacion: 3.200263, Cantidad 91.400169
Apostador: Apostador-5, Ventanilla: 7, Caballo: 0, Cotizacion: 3.621912, Cantidad 59.676571
Apostador: Apostador-9, Ventanilla: 4, Caballo: 1, Cotizacion: 3.134076, Cantidad 142.275696
Apostador: Apostador-3, Ventanilla: 10, Caballo: 1, Cotizacion: 3.000851, Cantidad 53.551342
Apostador: Apostador-6, Ventanilla: 0, Caballo: 1, Cotizacion: 2.954916, Cantidad 98.507355
Apostador: Apostador-1, Ventanilla: 9, Caballo: 0, Cotizacion: 3.694773, Cantidad 126.229271
Apostador: Apostador-8, Ventanilla: 2, Caballo: 2, Cotizacion: 2.697359, Cantidad 99.571693
Apostador: Apostador-10, Ventanilla: 1, Caballo: 2, Cotizacion: 2.636355, Cantidad 106.851463
Apostador: Apostador-2, Ventanilla: 6, Caballo: 0, Cotizacion: 3.526245, Cantidad 86.912827
Apostador: Apostador-7, Ventanilla: 3, Caballo: 2, Cotizacion: 2.575587, Cantidad 141.931976
Apostador: Apostador-5, Ventanilla: 8, Caballo: 2, Cotizacion: 2.501520, Cantidad 20.142122
Apostador: Apostador-9, Ventanilla: 5, Caballo: 1, Cotizacion: 3.114952, Cantidad 41.497730
Apostador: Apostador-1, Ventanilla: 10, Caballo: 1, Cotizacion: 3.079457, Cantidad 70.612511
Apostador: Apostador-3, Ventanilla: 2, Caballo: 1, Cotizacion: 3.021721, Cantidad 114.364944
Apostador: Apostador-2, Ventanilla: 1, Caballo: 1, Cotizacion: 2.934720, Cantidad 90.027977
Apostador: Apostador-4, Ventanilla: 7, Caballo: 1, Cotizacion: 2.871327, Cantidad 134.798630
Apostador: Apostador-8, Ventanilla: 0, Caballo: 0, Cotizacion: 3.875339, Cantidad 86.808144
Apostador: Apostador-10, Ventanilla: 4, Caballo: 2, Cotizacion: 2.640054, Cantidad 134.720718
Apostador: Apostador-6, Ventanilla: 9, Caballo: 2, Cotizacion: 2.597793, Cantidad 43.324551
Apostador: Apostador-7, Ventanilla: 6, Caballo: 1, Cotizacion: 2.875699, Cantidad 67.791245
Apostador: Apostador-1, Ventanilla: 3, Caballo: 0, Cotizacion: 3.812165, Cantidad 74.403481
Apostador: Apostador-3, Ventanilla: 8, Caballo: 2, Cotizacion: 2.620473, Cantidad 85.758774
Apostador: Apostador-2, Ventanilla: 5, Caballo: 0, Cotizacion: 3.757687, Cantidad 111.991745
Apostador: Apostador-4, Ventanilla: 10, Caballo: 1, Cotizacion: 2.924847, Cantidad 125.518707
Apostador: Apostador-10, Ventanilla: 0, Caballo: 2, Cotizacion: 2.650305, Cantidad 105.669067
Apostador: Apostador-6, Ventanilla: 4, Caballo: 1, Cotizacion: 2.880651, Cantidad 7.339710
Apostador: Apostador-8, Ventanilla: 1, Caballo: 2, Cotizacion: 2.601302, Cantidad 89.254425
Apostador: Apostador-2, Ventanilla: 4, Caballo: 1, Cotizacion: 2.730433, Cantidad 53.135490
Apostador: Apostador-5, Ventanilla: 1, Caballo: 0, Cotizacion: 350.787159, Cantidad 92.834167
Apostador: Apostador-3, Ventanilla: 2, Caballo: 2, Cotizacion: 0.000000, Cantidad 38.212543
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 5.092387, Cantidad 151.101730
Apostador: Apostador-6, Ventanilla: 3, Caballo: 1, Cotizacion: 38.212543, Cantidad 161.472885
Apostador: Apostador-7, Ventanilla: 4, Caballo: 2, Cotizacion: 2.610192, Cantidad 147.371735
Apostador: Apostador-4, Ventanilla: 5, Caballo: 2, Cotizacion: 1.907478, Cantidad 106.972946
Apostador: Apostador-1, Ventanilla: 3, Caballo: 2, Cotizacion: 1.689163, Cantidad 80.003090
Apostador: Apostador-7, Ventanilla: 2, Caballo: 0, Cotizacion: 8.857164, Cantidad 67.156761
Apostador: Apostador-5, Ventanilla: 1, Caballo: 2, Cotizacion: 1.712076, Cantidad 126.890327
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 4.754693, Cantidad 52.248295
Apostador: Apostador-3, Ventanilla: 5, Caballo: 2, Cotizacion: 1.653589, Cantidad 21.832952
Apostador: Apostador-4, Ventanilla: 4, Caballo: 0, Cotizacion: 6.827918, Cantidad 155.676666
Apostador: Apostador-6, Ventanilla: 3, Caballo: 2, Cotizacion: 1.863583, Cantidad 95.658142
Apostador: Apostador-4, Ventanilla: 5, Caballo: 1, Cotizacion: 5.042128, Cantidad 1.217535
Apostador: Apostador-2, Ventanilla: 4, Caballo: 0, Cotizacion: 4.268783, Cantidad 93.504822
Apostador: Apostador-3, Ventanilla: 3, Caballo: 2, Cotizacion: 1.879335, Cantidad 130.311829
Apostador: Apostador-1, Ventanilla: 1, Caballo: 2, Cotizacion: 1.751924, Cantidad 135.424194
Apostador: Apostador-5, Ventanilla: 2, Caballo: 1, Cotizacion: 6.358938, Cantidad 116.748344
Apostador: Apostador-7, Ventanilla: 0, Caballo: 1, Cotizacion: 4.737345, Cantidad 107.505257
Apostador: Apostador-6, Ventanilla: 5, Caballo: 1, Cotizacion: 3.922908, Cantidad 71.110695
Apostador: Apostador-4, Ventanilla: 1, Caballo: 1, Cotizacion: 3.554666, Cantidad 132.867126
Apostador: Apostador-6, Ventanilla: 2, Caballo: 2, Cotizacion: 2.067356, Cantidad 145.125671
Apostador: Apostador-7, Ventanilla: 5, Caballo: 1, Cotizacion: 3.276014, Cantidad 113.829163
Apostador: Apostador-2, Ventanilla: 1, Caballo: 2, Cotizacion: 2.032547, Cantidad 121.120361
Apostador: Apostador-1, Ventanilla: 4, Caballo: 2, Cotizacion: 1.936421, Cantidad 71.023544
Apostador: Apostador-5, Ventanilla: 0, Caballo: 2, Cotizacion: 1.887947, Cantidad 99.382378
Apostador: Apostador-3, Ventanilla: 3, Caballo: 2, Cotizacion: 1.827974, Cantidad 7.405138
Apostador: Apostador-3, Ventanilla: 5, Caballo: 1, Cotizacion: 3.325149, Cantidad 23.141607
Apostador: Apostador-4, Ventanilla: 1, Caballo: 1, Cotizacion: 3.260652, Cantidad 112.154633
Apostador: Apostador-6, Ventanilla: 2, Caballo: 1, Cotizacion: 2.992759, Cantidad 135.757812
Apostador: Apostador-7, Ventanilla: 0, Caballo: 2, Cotizacion: 2.007117, Cantidad 150.317719
Apostador: Apostador-1, Ventanilla: 3, Caballo: 0, Cotizacion: 7.602938, Cantidad 149.144302
Apostador: Apostador-5, Ventanilla: 4, Caballo: 2, Cotizacion: 2.005740, Cantidad 48.177525
Apostador: Apostador-2, Ventanilla: 5, Caballo: 0, Cotizacion: 5.928372, Cantidad 10.288702
Apostador: Apostador-6, Ventanilla: 2, Caballo: 2, Cotizacion: 1.982986, Cantidad 29.951624
Apostador: Apostador-1, Ventanilla: 3, Caballo: 2, Cotizacion: 1.965741, Cantidad 59.299522
Apostador: Apostador-3, Ventanilla: 1, Caballo: 1, Cotizacion: 3.155990, Cantidad 115.483154
Apostador: Apostador-2, Ventanilla: 0, Caballo: 2, Cotizacion: 1.998695, Cantidad 10.172861
Apostador: Apostador-7, Ventanilla: 4, Caballo: 2, Cotizacion: 1.992977, Cantidad 54.589832
Apostador: Apostador-5, Ventanilla: 5, Caballo: 1, Cotizacion: 3.002177, Cantidad 7.002487
Apostador: Apostador-4, Ventanilla: 2, Caballo: 2, Cotizacion: 1.967201, Cantidad 57.221123
Apostador: Apostador-2, Ventanilla: 1, Caballo: 0, Cotizacion: 6.425231, Cantidad 151.871338
Apostador: Apostador-5, Ventanilla: 5, Caballo: 2, Cotizacion: 2.018313, Cantidad 19.156836
Apostador: Apostador-4, Ventanilla: 4, Caballo: 1, Cotizacion: 3.180008, Cantidad 10.515705
Apostador: Apostador-1, Ventanilla: 2, Caballo: 2, Cotizacion: 2.013599, Cantidad 61.311760
Apostador: Apostador-7, Ventanilla: 1, Caballo: 0, Cotizacion: 5.409325, Cantidad 106.572037
Apostador: Apostador-3, Ventanilla: 3, Caballo: 1, Cotizacion: 3.299298, Cantidad 3.276604
Apostador: Apostador-6, Ventanilla: 0, Caballo: 2, Cotizacion: 2.037826, Cantidad 98.325920
Apostador: Apostador-3, Ventanilla: 4, Caballo: 1, Cotizacion: 3.373811, Cantidad 92.074539
Apostador: Apostador-2, Ventanilla: 5, Caballo: 2, Cotizacion: 2.033003, Cantidad 21.102385
Apostador: Apostador-7, Ventanilla: 3, Caballo: 1, Cotizacion: 3.223137, Cantidad 61.467979
Apostador: Apostador-5, Ventanilla: 0, Caballo: 2, Cotizacion: 2.051997, Cantidad 1.949774
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 3.124958, Cantidad 25.261137
Apostador: Apostador-6, Ventanilla: 2, Caballo: 1, Cotizacion: 3.086541, Cantidad 137.942307
Apostador: Apostador-4, Ventanilla: 4, Caballo: 2, Cotizacion: 2.129088, Cantidad 81.367043
Apostador: Apostador-6, Ventanilla: 4, Caballo: 0, Cotizacion: 5.473158, Cantidad 12.976029
Apostador: Apostador-3, Ventanilla: 1, Caballo: 0, Cotizacion: 5.404143, Cantidad 123.346169
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 2.149556, Cantidad 111.732773
Apostador: Apostador-5, Ventanilla: 5, Caballo: 2, Cotizacion: 2.093308, Cantidad 125.406227
Apostador: Apostador-2, Ventanilla: 3, Caballo: 1, Cotizacion: 3.195325, Cantidad 7.350915
Apostador: Apostador-4, Ventanilla: 2, Caballo: 2, Cotizacion: 2.039443, Cantidad 82.238647
Apostador: Apostador-7, Ventanilla: 1, Caballo: 1, Cotizacion: 3.238176, Cantidad 51.045052
Apostador: Apostador-2, Ventanilla: 4, Caballo: 2, Cotizacion: 2.025619, Cantidad 126.415794
Apostador: Apostador-5, Ventanilla: 5, Caballo: 1, Cotizacion: 3.245812, Cantidad 47.391289
Apostador: Apostador-1, Ventanilla: 0, Caballo: 2, Cotizacion: 1.994192, Cantidad 94.316475
Apostador: Apostador-4, Ventanilla: 1, Caballo: 2, Cotizacion: 1.959615, Cantidad 93.596428
Apostador: Apostador-7, Ventanilla: 4, Caballo: 1, Cotizacion: 3.295465, Cantidad 20.703526
Apostador: Apostador-6, Ventanilla: 3, Caballo: 2, Cotizacion: 1.934980, Cantidad 66.075867
Apostador: Apostador-3, Ventanilla: 2, Caballo: 0, Cotizacion: 5.697638, Cantidad 148.160904
Apostador: Apostador-3, Ventanilla: 5, Caballo: 0, Cotizacion: 5.072033, Cantidad 9.112773
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 3.345649, Cantidad 62.555401
Apostador: Apostador-5, Ventanilla: 4, Caballo: 0, Cotizacion: 5.129854, Cantidad 97.381638
Apostador: Apostador-6, Ventanilla: 3, Caballo: 2, Cotizacion: 2.037655, Cantidad 63.915401
Apostador: Apostador-2, Ventanilla: 0, Caballo: 1, Cotizacion: 3.401275, Cantidad 39.406616
Apostador: Apostador-7, Ventanilla: 5, Caballo: 2, Cotizacion: 2.015062, Cantidad 39.052662
Apostador: Apostador-4, Ventanilla: 2, Caballo: 2, Cotizacion: 2.001735, Cantidad 120.667633
